"","name","win_percent","occur","total_win_rate","Status","ID"
"7","Stealth Ward",0.352941176470588,17,0.4,"Yellow",7
"1","Goredrinker",0.384615384615385,13,0.4,"Yellow",1
"3","Doran's Blade",0.307692307692308,13,0.4,"Yellow",3
"17","Ionian Boots of Lucidity",0.4,10,0.4,"Yellow",17
"4","Mercury's Treads",0,5,0.4,"Yellow",4
"32","Long Sword",0.6,5,0.4,"Green",32
"27","Refillable Potion",0.5,4,0.4,"Green",27
"2","Maw of Malmortius",0,3,0.4,"Yellow",2
"8","Hexdrinker",0.333333333333333,3,0.4,"Yellow",8
"14","Pickaxe",0.666666666666667,3,0.4,"Green",14
"15","Poro-Snax",0.666666666666667,3,0.4,"Green",15
"18","Caulfield's Warhammer",0,3,0.4,"Yellow",18
"20","Blade of The Ruined King",0,3,0.4,"Yellow",20
"23","Death's Dance",0.666666666666667,3,0.4,"Green",23
"33","Chain Vest",0.333333333333333,3,0.4,"Yellow",33
"5","Edge of Night",0.5,2,0.4,"Green",5
"6","Serrated Dirk",0.5,2,0.4,"Green",6
"10","The Collector",0.5,2,0.4,"Green",10
"11","Zhonya's Hourglass",0.5,2,0.4,"Green",11
"19","Immortal Shieldbow",0,2,0.4,"Yellow",19
"22","Null-Magic Mantle",0,2,0.4,"Yellow",22
"24","Kindlegem",0.5,2,0.4,"Green",24
"30","Guardian Angel",0.5,2,0.4,"Green",30
"38","Kraken Slayer",0.5,2,0.4,"Green",38
"39","Berserker's Greaves",0.5,2,0.4,"Green",39
"46","Black Cleaver",1,2,0.4,"Green",46
"9","Plated Steelcaps",1,1,0.4,"Green",9
"12","Guardian's Horn",0,1,0.4,"Yellow",12
"13","Tear of the Goddess",0,1,0.4,"Yellow",13
"16","Cloth Armor",0,1,0.4,"Yellow",16
"21","Hearthbound Axe",0,1,0.4,"Yellow",21
"25","Everfrost",1,1,0.4,"Green",25
"26","Sorcerer's Shoes",1,1,0.4,"Green",26
"28","Fiendish Codex",1,1,0.4,"Green",28
"29","Aether Wisp",1,1,0.4,"Green",29
"31","Wit's End",0,1,0.4,"Yellow",31
"34","Control Ward",0,1,0.4,"Yellow",34
"35","Vampiric Scepter",0,1,0.4,"Yellow",35
"36","Noonquiver",0,1,0.4,"Yellow",36
"37","Phantom Dancer",0,1,0.4,"Yellow",37
"40","Infinity Edge",0,1,0.4,"Yellow",40
"41","Luden's Tempest",1,1,0.4,"Green",41
"42","Boots",1,1,0.4,"Green",42
"43","Shadowflame",1,1,0.4,"Green",43
"44","Amplifying Tome",1,1,0.4,"Green",44
"45","Last Whisper",1,1,0.4,"Green",45
